positiv,komparativ,superlativ,have_same_stem
flexibel,flexibler,am flexibelsten,False
disponibel,disponibler,am disponibelsten,False
gutbesucht,besser besucht,bestbesucht,False
unscharf,unschärfer,am unschärfsten,False
leistungsstark,leistungsstärker,am leistungsstärksten,False
sonnenarm,sonnenärmer,am sonnenärmsten,False
präsidiabel,präsidiabler,am präsidiabelsten,False
kommensurabel,kommensurabler,am kommensurabelsten,False
dumm,dümmer,am dümmsten,False
sinister,sinistrer,am sinistersten,False
viabel,viabler,am viabelsten,False
ereignisarm,ereignisärmer,am ereignisärmsten,False
nikotinarm,nikotinärmer,am nikotinärmsten,False
spendabel,spendabler,am spendabelsten,False
hochrangig,höherrangig,am höchstrangig,False
krank,kränker,am kränksten,False
kalt,kälter,am kältesten,False
emissionsarm,emissionsärmer,am emissionsärmsten,False
ideenarm,ideenärmer,am ideenärmsten,False
realitätsnah,realitätsnäher,am realitätsnächsten,False
mürbe,mürber,am mürbsten,False
sauerstoffarm,sauerstoffärmer,am sauerstoffärmsten,False
kredibel,kredibler,am kredibelsten,False
dunkel,dunklerdünkler,am dunkelsten,False
profitabel,profitabler,am profitabelsten,False
streng genommen,strenger genommen,am strengsten genommen,False
reputabel,reputabler,am reputabelsten,False
laufstark,laufstärker,am laufstärksten,False
arm,ärmer,am ärmsten,False
niederschlagsarm,niederschlagsärmer,am niederschlagsärmsten,False
unflexibel,unflexibler,am unflexibelsten,False
veritabel,veritabler,am veritabelsten,False
(wenig),minder,am mindesten,False
frevel,frevler,am frevelsten,False
fischarm,fischärmer,am fischärmsten,False
holzarm,holzärmer,am holzärmsten,False
penibel,penibler,am penibelsten,False
abwechslungsarm,abwechslungsärmer,am abwechslungsärmsten,False
mittel,mittler,am mittelsten,False
träge,träger,am trägsten,False
trübe,trüber,am trübsten,False
kompatibel,kompatibler,am kompatibelsten,False
scharf,schärfer,am schärfsten,False
disputabel,disputabler,am disputabelsten,False
äquatornah,äquatornäher,am äquatornächsten,False
hart,härter,am härtesten,False
nah,näher,am nächsten,False
sauer,saurer,am sauersten,False
ignobel,ignobler,am ignobelsten,False
kontrastarm,kontrastärmer,am kontrastärmsten,False
einkommensstark,einkommensstärker,am einkommensstärksten,False
diskutabel,diskutabler,am diskutabelsten,False
rentabel,rentabler,am rentabelsten,False
schadstoffarm,schadstoffärmer,am schadstoffärmsten,False
humorigg.s,humoriger,am humorigsten,False
zuckerarm,zuckerärmer,am zuckerärmsten,False
schwach,schwächer,am schwächsten,False
lang,länger,am längsten,False
wartungsarm,wartungsärmer,am wartungsärmsten,False
gut besucht,besser besucht,am besten besucht,False
sensibel,sensibler,am sensibelsten,False
tolerabel,tolerabler,am tolerabelsten,False
stark,stärker,am stärksten,False
bodennah,bodennäher,am bodennächsten,False
grob,gröber,am gröbsten,False
schmerzarm,schmerzärmer,am schmerzärmsten,False
zuschauerschwach,zuschauerschwächer,am zuschauerschwächsten,False
kommunikationsstark,kommunikationsstärker,am kommunikationsstärksten,False
profitabel,profitabler,am profitabelsten,False
hoch kompliziert,höher kompliziert,höchst kompliziert,False
habitabel,habitabler,am habitabelsten,False
gut,besser,am besten,False
citynah,citynäher,am citynächsten,False
unrentabel,unrentabler,am unrentabelsten,False
natriumarm,natriumärmer,am natriumärmsten,False
irre,irrer,am irrsten,False
viel,mehr,am meisten,False
ranghoch,ranghöher,am ranghöchsten,False
zeitnah,zeitnäher,am zeitnächsten,False
nebenwirkungsarm,nebenwirkungsärmer,am nebenwirkungsärmsten,False
merkmalarm,merkmalärmer,am merkmalärmsten,False
aschearm,ascheärmer,am ascheärmsten,False
admirabel,admirabler,am admirabelsten,False
einwohnerarm,einwohnerärmer,am einwohnerärmsten,False
heikel,heikler,am heikelsten,False
intolerabel,intolerabler,am intolerabelsten,False
alt,älter,am ältesten,False
energiearm,energieärmer,am energieärmsten,False
lautstark,lautstärker,am lautstärksten,False
abgasarm,abgasärmer,am abgasärmsten,False
zuschauerstark,zuschauerstärker,am zuschauerstärksten,False
rauscharm,rauschärmer,am rauschärmsten,False
durabel,durabler,am durabelsten,False
menschenarm,menschenärmer,am menschenärmsten,False
rabenschwarz,rabenschwärzer,am rabenschwärzesten,False
miserabel,miserabler,am miserabelsten,False
antriebsarm,antriebsärmer,am antriebsärmsten,False
inkompatibel,inkompatibler,am inkompatibelsten,False
passabel,passabler,am passabelsten,False
vulnerabel,vulnerabler,am vulnerabelsten,False
anregungsarm,anregungsärmer,am anregungsärmsten,False
schwarz,schwärzer,am schwärzesten,False
übel,übler,am übelsten,False
impermeabel,impermeabler,am impermeabelsten,False
salzarm,salzärmer,am salzärmsten,False
arbeitsarm,arbeitsärmer,am arbeitsärmsten,False
finanzstark,finanzstärker,am finanzstärksten,False
blutarm,blutärmer,am blutärmsten,False
kalorienarm,kalorienärmer,am kalorienärmsten,False
rege,reger,am regsten,False
zuschauerarm,zuschauerärmer,am zuschauerärmsten,False
nobel,nobler,am nobelsten,False
speiübel,speiübler,am speiübelsten,False
neunmalklug,neunmalklüger,am neunmalklügsten,False
edel,edler,am edelsten,False
variabel,variabler,am variabelsten,False
blamabel,blamabler,am blamabelsten,False
schofel,schofler,am schofelsten,False
gutgelaunt,besser gelaunt,bestgelaunt,False
hoch,höher,am höchsten,False
wasserarm,wasserärmer,am wasserärmsten,False
akzeptabel,akzeptabler,am akzeptabelsten,False
schneearm,schneeärmer,am schneeärmsten,False
simpel,simpler,am simpelsten,False
bahnhofsnah,bahnhofsnäher,am bahnhofsnächsten,False
reagibel,reagibler,am reagibelsten,False
guterhalten,besser erhalten,besterhalten,False
nasskalt,nasskälter,am nasskältesten,False
affabel,affabler,am affabelsten,False
praktikabel,praktikabler,am praktikabelsten,False
formidabel,formidabler,am formidabelsten,False
imponderabel,imponderabler,am imponderabelsten,False
CO₂-arm,CO₂-ärmer,am CO₂-ärmsten,False
fungibel,fungibler,am fungibelsten,False
PS-stark,PS-stärker,am PS-stärksten,False
handlungsarm,handlungsärmer,am handlungsärmsten,False
gefühlsarm,gefühlsärmer,am gefühlsärmsten,False
kopfballstark,kopfballstärker,am kopfballstärksten,False
umsatzstark,umsatzstärker,am umsatzstärksten,False
koffeinarm,koffeinärmer,am koffeinärmsten,False
weltklug,weltklüger,am weltklügsten,False
respektabel,respektabler,am respektabelsten,False
nährstoffarm,nährstoffärmer,am nährstoffärmsten,False
feige,feiger,am feigsten,False
regenarm,regenärmer,am regenärmsten,False
finanzschwach,finanzschwächer,am finanzschwächsten,False
rohstoffarm,rohstoffärmer,am rohstoffärmsten,False
integer,integrer,am integersten,False
arg,ärger,am ärgsten,False
abominabel,abominabler,am abominabelsten,False
delektabel,delektabler,am delektabelsten,False
verkaufsstark,verkaufsstärker,am verkaufsstärksten,False
teuer,teurer,am teuersten,False
deplorabel,deplorabler,am deplorabelsten,False
portabel,portabler,am portabelsten,False
explosibel,explosibler,am explosibelsten,False
vitaminarm,vitaminärmer,am vitaminärmsten,False
ungeheuer,ungeheurer,am ungeheuersten,False
alkoholarm,alkoholärmer,am alkoholärmsten,False
strandnah,strandnäher,am strandnächsten,False
flächengroß,flächengrößer,am flächengrößten,False
gut gelaunt,besser gelaunt,am besten gelaunt,False
torarm,torärmer,am torärmsten,False
inakzeptabel,inakzeptabler,am inakzeptabelsten,False
ekel,ekler,am ekelsten,False
indiskutabel,indiskutabler,am indiskutabelsten,False
spannungsarm,spannungsärmer,am spannungsärmsten,False
ausdrucksstark,ausdrucksstärker,am ausdrucksstärksten,False
pardonabel,pardonabler,am pardonabelsten,False
geräuscharm,geräuschärmer,am geräuschärmsten,False
baumarm,baumärmer,am baumärmsten,False
wirklichkeitsnah,wirklichkeitsnäher,am wirklichkeitsnächsten,False
nahe,näher,am nächsten,False
kandidel,kandidler,am kandidelsten,False
fettarm,fettärmer,am fettärmsten,False
willensstark,willensstärker,am willensstärksten,False
einkommensschwach,einkommensschwächer,am einkommensschwächsten,False
operabel,operabler,am operabelsten,False
zart besaitet,zarter besaitet,am zartesten besaitetam zartbesaitetsten,False
valabel,valabler,am valabelsten,False
eitel,eitler,am eitelsten,False
vage,vager,am vagsten,False
komparabel,komparabler,am komparabelsten,False
waldarm,waldärmer,am waldärmsten,False
plausibel,plausibler,am plausibelsten,False
permeabel,permeabler,am permeabelsten,False
kurz,kürzer,am kürzesten,False
klug,klüger,am klügsten,False
bange,bangerbänger,am bangstenam bängsten,False
CO2-arm,CO2-ärmer,am CO2-ärmsten,False
warm,wärmer,am wärmsten,False
portabel,portabler,am portabelsten,False
groß,größer,am größten,False
gut erhalten,besser erhalten,am besten erhalten,False
klein kariertkleinkariert,kleiner kariertkleinkarierter,am kleinsten kariertam kleinkariertesten,False
illuster,illustrer,am illustersten,False
komfortabel,komfortabler,am komfortabelsten,False
vibrationsarm,vibrationsärmer,am vibrationsärmsten,False
praktikabel,praktikabler,am praktikabelsten,False
suszeptibel,suszeptibler,am suszeptibelsten,False
jung,jünger,am jüngsten,False
präferabel,präferabler,am präferabelsten,False
