label,english,german
0,I did overpower him the way he flattered.,"Ich habe ihn so überwältigt, wie er geschmeichelt hat."
1,"All in all, the eatery is a breakfast bargain, with enough different components to keep boredom at bay.","Insgesamt ist das Restaurant ein Frühstücks -Schnäppchen mit genügend unterschiedlichen Komponenten, um Langeweile in Schach zu halten."
0,He gave a self-deprecating shrug.,Er gab einen selbstironischen Achselzucken.
1,It is a long time now since I knew that acute moment of bliss that comes from putting parched lips to a cup of cold water.,"Es ist jetzt lange, dass ich diesen akuten Moment der Glückseligkeit wusste, der aus der Tasse kaltem Wasser entsteht."
0,Girls thread a needle under the moon to pray the weaver maid to endow them craftsmanship.,"Mädchen fädeln eine Nadel unter dem Mond ein, um die Weaver Maid zu beten, um ihnen Handwerkskunst zu bestimmen."
0,"Today, 15 years later, I know why my attempt at consoling my friend was so ham-fisted .","Heute, 15 Jahre später, weiß ich, warum mein Versuch, meinen Freund zu trösten, so faustgeschrieben war."
0,"I suppose you'd rather be in Chicago, eating waffles and hamburgers, or suchlike?","Ich nehme an, Sie wären lieber in Chicago, essen Waffeln und Hamburger oder dergleichen?"
0,"He's heard, he says, that Speedo Man is a church choir director!","Er hat gehört, sagt er, dass Speedo Man ein Kirchenchorleiter ist!"
0,A hot college hoop dreamer played by Kadeem Hardison dies just as his team is on the edge of an NCAA championship.,"Ein heißer College -Hoop -Träumer, der von Kadeem Hardison gespielt wird, stirbt genau wie sein Team am Rande einer NCAA -Meisterschaft."
0,He is so much more than a comedian.,Er ist so viel mehr als ein Komiker.
1,"Her face, which had always been long, was now positively equine.","Ihr Gesicht, das schon immer lange gewesen war, war jetzt ein positives Pferde."
0,It was his be- lief that men lived senseless lives.,"Es war sein Lief, dass Männer sinnloses Leben lebten."
0,Edna was tied to the yoke of undesired motherhood.,Edna war an das Joch der unerwünschten Mutterschaft gebunden.
0,The worst way to miss someone is to be seated by his/her side and know you'll never have him/her.,"Der schlimmste Weg, jemanden zu vermissen, ist, an seiner Seite zu sitzen und zu wissen, dass Sie ihn nie/sie haben werden."
0,On the trail of nepeta advice Can you help me with my trailing variegated nepeta?,"Auf der Spur des Nepeta -Ratschlägees können Sie mir bei meinem nachfolgenden, varierten Nepeta helfen?"
1,But her own life was often stranger than any action-packed fiction plot.,Aber ihr eigenes Leben war oft seltsamer als jede actionreiche Fiktion.
0,The managing director is a man but my immediate boss is a woman.,"Der Geschäftsführer ist ein Mann, aber mein unmittelbarer Chef ist eine Frau."
0,She lapsed into a little girl voice to deliver a nursery rhyme.,"Sie fiel in eine kleine Mädchenstimme ab, um einen Kinderreim zu liefern."
0,Fair was definitely not being at the beck and call of her wayward emotions.,Fair war definitiv nicht bei Beck und Call ihrer eigensinnigen Gefühle.
1,I'm not going to take this crap any more.,Ich werde diesen Mist nicht mehr aufnehmen.
1,"He that falls into sin is a man; that grieves at it, is a saint; that boasteth of it, is a devil","Wer in die Sünde fällt, ist ein Mann; Das trauert darüber, ist ein Heiliger; Das prahlt sich davon ein Teufel"
0,The periwinkle is more than a source of beautiful blue in your garden - it's the source of a miraculous brain-booster called vinpocetine.,Das Periwinkle ist mehr als eine schöne Quelle für wunderschönes Blau in Ihrem Garten - es ist die Quelle eines wundersamen Hirnsteigers namens Vinpocetin.
0,What has he done to deserve this punishment ?,"Was hat er getan, um diese Bestrafung zu verdienen?"
1,"For our momentary lightness of affliction works out for us, more and more surpassingly, an eternal weight of glory.",Für unsere momentane Leichtigkeit des Leidens funktioniert uns immer mehr übertrieben ein ewiges Gewicht des Ruhms.
