,0
0,Beata
1,Potentielle
2,EU-Sanktionen
3,Ziellländern
4,Asylverfahrens
5,Klagedrohung
6,Rechenschaftspflicht
7,Binnengrenzen
8,Visakontrollen
9,Sobotka
10,Fluchtbewegungen
11,Südgrenze
12,Sicherheitsbedürfnisse
13,Abgeordnetenrat
14,Matteo
15,Ärmelkanal
16,Dublinstaat
17,Grenzzäune
18,Schleppern
19,Grenzmanagementsystems
20,Visaverfahren
21,Kriegsflüchtlinge
22,Kontingentflüchtlinge
23,KCMD
24,Gefängniszentren
25,Al-Shabaab
26,Reiseservice
27,Überwachungstechnik
28,Aufgegriffenen
29,Nordmazedonien
30,Rutte
31,Rückkehrrate
32,Vermisstenmeldungen
33,Erstaufnahmeeinrichtungen
34,EGMR
35,Erfrierungstod
36,Westgrenzen
37,Syriens.114
38,Presserecherchen
39,Mediterranean
40,Containersiedlungen
41,Dramatisierung
42,Umverteilungs-
43,Aufenthaltserlaubnisse
44,Aufenthaltsgenehmigungen
45,Kopietz
46,Flüchtende
47,Flüchtlinge.Italienische
48,Straßenkämpfen
49,Schutzbedürftige
50,Polisario-Chef
51,Platforma
52,Lösungsunfähigkeit
53,Lagerbewohner
54,Taser
55,Brexit-Referendum
56,Soforteinsatzteams
57,Solidaritätskrise
58,Zanker
59,Passunion
60,Willkommenskultur
61,Leggeri
62,Boko
63,Mikl-Leitner
64,Männlichkeitsnormen
65,Flüchtlingstransit
66,Weiterreise
67,Integrationskraft
68,Subsahara-Afrika
69,Smer
70,Italien.Weil
71,Dublinsystem
72,Coronavirus
73,Zug-
74,Jobbik
75,Rettern
76,Einwanderungs-
77,EU-Skepsis
78,MPRA
79,Erstaufnahmedienst
80,Anerkennungsrichtlinie
81,Regierungsmacht
82,Exklaven
83,Messerangriff
84,Migrants
85,Flüchtlingshilfe
86,Sicherheitsbedarfs
87,Gesundheitszeugnisse
88,Botschaftsasyl
89,Küstengewässern
90,Erstanträgen
91,Saudi-Arabiens
92,Asylbewerbers
93,Visumfreiheit
94,Zuwandererzahlen
95,Institution.Nach
96,Personaldokumente
97,Salvini
98,Pushbacks
99,Todesraten
100,Menschenschmuggler
101,Ueberbach
102,Anvelt
103,Løkke
104,Ansturms
105,Keleti
106,Arbeitsverbot
107,Pandemie
108,Westbalkanstaaten
109,Helferorganisationen
110,Ausreiseaufforderungen
111,Fährschiffen
112,Personenzahl
113,Bildungsabschlüsse
114,Fachportal
115,Umverteilungszentren
116,Transitland
117,Grönheim
118,Grenzschließungen
119,Rebellenhochburg
120,Couchpolitiker
121,Bulgarische
122,Ghermay
123,Umverteilungsprogramm
124,Nordgrenze
125,Integrationshemmnis
126,Flüchtlingshandbuch
127,Fotojournalisten
128,Reiseerleichterungen
129,Notstandsregelung
130,UN-Flüchtlingshochkommissar
131,UNHCR-Plan
132,Ausreisewelle
133,Turton
134,Unrechtsregime
135,Migrantentransporte
136,EU-Befehl
137,Grenzblockade
138,Außengrenzenfonds
139,Wohnraumbeschaffung
140,Kostenstellen
141,Polizeipatrouillen
142,Fingerabdruckdaten
143,Flüchtlingslagern
144,Landrouten
145,Lageausblick
146,Oktober/November
147,Eurodac-Vorschriften
148,Dublin-Verordnung
149,Einspruchsstellen
150,US-Senat
151,Fiskalrates
152,Khartum-Prozess
153,Patrouillen
154,CDU/CSU
155,Zauns
156,EU-Beitrittskandidat
157,Pfefferspray
158,Durchwinken
159,Schengen-Innengrenze
160,Ausweichfluchtroute
161,Transferleistungsquoten
162,Sanitäranlagen
163,Frontex-Beamte
164,Migrationskrise
165,Vršac
166,Erwerbsquote
167,Bestatten
168,Eritreer
169,Gudula
170,Rücknahmeabkommen
171,Geberkonferenz
172,Visumserleichterungen
173,Zivilkleidung
174,Chovanec
175,Westbalkan-Konferenz
176,Schutzbedürftigen
177,Gesamtlage
178,Visapflicht
179,Krisenverlauf
180,Jordaniern
181,Grenzschützern
182,Kriegsgebieten
183,Bundespolitikern
184,Abriegelung
185,Grenzschutzanlagen
186,Lesbos
187,Vorrangprüfung
188,Grenzschutz
189,Eisenbahnübergänge
190,Septemberwoche
191,Bootsflüchtlingen
192,AMIF
193,Geflohenen
194,Andersheit
195,Hilfszusagen
196,EU-Politik
197,Nordafrikaner
198,Islamist
199,Asylanträge
200,Nothilfe-Treuhandfonds
201,Erstanträge
202,Unmöglichem
203,Finanzzusagen
204,Somalier
205,Unionsgebiet.Europäische
206,Asylrechte
207,Fährschiffe
208,Passvergabe
209,Aufnahmegesellschaft
210,Menschenschmuggel
211,Neuansiedlung
