positiv,komparativ,superlativ
azeotrop,—,—
kritikwürdig,kritikwürdiger,am kritikwürdigsten
rotweißrot,—,—
wehrdienstuntauglich,—,—
portofrei,—,—
wuselig,wuseliger,am wuseligsten
füllig,fülliger,am fülligsten
flexibel,flexibler,am flexibelsten
einfallslos,einfallsloser,am einfallslosesten
berechnend,berechnender,am berechnendsten
pyknisch,pyknischer,am pyknischsten
X-förmig,—,—
gerngesehen,gerngesehener,am gerngesehensten
mexikanisch,mexikanischer,am mexikanischsten
null,—,—
verträglich,verträglicher,am verträglichsten
zweistündlich,—,—
unversöhnlich,unversöhnlicher,am unversöhnlichsten
chitinig,—,—
inkarnat,—,—
halbjährlich,—,—
parteipolitisch,—,—
unwesentlich,unwesentlicher,am unwesentlichsten
hilfsbedürftig,hilfsbedürftiger,am hilfsbedürftigsten
intelligibel,—,—
leergefegt,—,—
grundbar,—,—
disponibel,disponibler,am disponibelsten
objektorientiert,objektorientierter,am objektorientiertesten
verlustig,—,—
zypressen,—,—
ungehalten,ungehaltener,am ungehaltensten
homophob,homophober,am homophobsten
diesseitig,—,—
myopathisch,—,—
chauvinistisch,chauvinistischer,am chauvinistischsten
livide,livider,am lividesten
pfirsichfarben,—,—
unverlangt,—,—
gallertartig,—,—
astral,—,—
erschwinglich,erschwinglicher,am erschwinglichsten
bakchisch,bakchischer,am bakchischsten
rückstoßfrei,—,—
vorsokratisch,—,—
preußisch,preußischer,am preußischsten
erkennbar,erkennbarer,am erkennbarsten
gewinnend,gewinnender,am gewinnendsten
kataton,—,—
flanellen,—,—
bewaldet,bewaldeter,am bewaldetsten
realisierbar,realisierbarer,am realisierbarsten
wunderfitzig,wunderfitziger,am wunderfitzigsten
bitterarm,—,—
anspruchsvoll,anspruchsvoller,am anspruchsvollsten
luxuriös,luxuriöser,am luxuriösesten
sinnig,sinniger,am sinnigsten
schwer bewaffnet,—,—
indisch,indischer,am indischsten
crèmig,crèmiger,am crèmigsten
aidskrank,—,—
mikroskopisch,—,—
skurril,skurriler,am skurrilsten
freizügig,freizügiger,am freizügigsten
anlasslos,—,—
dosierbar,—,—
nichtsnutzig,nichtsnutziger,am nichtsnutzigsten
kunstvoll,kunstvoller,am kunstvollsten
außenpolitisch,—,—
tiefschwarz,—,—
straßenbahnähnlich,—,—
unbunt,—,—
evaluativ,—,—
geothermal,—,—
kleinwüchsig,—,—
todunglücklich,todunglücklicher,am todunglücklichsten
eiweißhaltig,—,—
virologisch,—,—
stutenbissig,stutenbissiger,am stutenbissigsten
unaufhaltbar,—,—
provisorisch,provisorischer,am provisorischsten
beklagenswert,beklagenswerter,am beklagenswertesten
extrem,extremer,am extremsten
naturwissenschaftlich,—,—
iranisch,iranischer,am iranischsten
kündbar,—,—
thermisch,—,—
restaurativ,restaurativer,am restaurativsten
kaiserlich,—,—
autosemantisch,—,—
gotzig,—,—
enterohämorrhagisch,—,—
beherrschbar,beherrschbarer,am beherrschbarsten
konfliktreich,konfliktreicher,am konfliktreichsten
überschläglich,—,—
polizeilich,polizeilicher,am polizeilichsten
schneeblind,—,—
deistisch,deistischer,am deistischsten
magnetisch,magnetischer,am magnetischsten
angloamerikanisch,angloamerikanischer,am angloamerikanischsten
palästinensisch,palästinensischer,am palästinensischsten
singapurisch,—,—
fortschrittsfeindlich,fortschrittsfeindlicher,am fortschrittsfeindlichsten
durchsetzbar,—,—
heimatlos,—,—
monochromatisch,—,—
abtörnend,abtörnender,am abtörnendsten
hochachtungsvoll,hochachtungsvoller,am hochachtungsvollsten
althergebracht,—,—
dorisch,—,—
mehrfarbig,—,—
nass,nassernässer,am nassestenam nässesten
leninistisch,—,—
sensitiv,sensitiver,am sensitivsten
pathognomonisch,pathognomonischer,am pathognomonischestenam pathognomonischsten
unzählig,—,—
indonesisch,indonesischer,am indonesischsten
abgefeimt,abgefeimter,am abgefeimtesten
mundfaul,mundfauler,am mundfaulsten
hackenstad,—,—
staatenlos,—,—
normal,normaler,am normalsten
versessen,versessenerversessner,am versessensten
zweikeimblätterig,—,—
erziehbar,—,—
kortikal,—,—
geschichtsträchtig,—,—
klar,klarer,am klarsten
berührbar,—,—
einstündlich,—,—
quinär,—,—
zahlungsunwillig,zahlungsunwilliger,am zahlungsunwilligsten
umbrisch,—,—
kanevassen,—,—
fußballbegeistert,fußballbegeisterter,am fußballbegeistertsten
außertourlich,—,—
risikoscheu,risikoscheuer,am risikoscheustenam risikoscheuesten
wasserfest,wasserfester,am wasserfestesten
südländisch,—,—
polysynthetisch,polysynthetischer,am polysynthetischsten
bestimmbar,bestimmbarer,am bestimmbarsten
rass,rasser,am rassesten
wohlbegründet,—,—
gestalterisch,—,—
basilikal,—,—
kostspielig,kostspieliger,am kostspieligsten
sachgrundlos,—,—
wackelig,wackeliger,am wackeligsten
prokonsularisch,—,—
