Unnamed: 0,english,german_google_translate,label,imageability,unexpectedness_avg_glove,unexpectedness_min_glove,unexpectedness_avg_word2vec,unexpectedness_min_word2vec,polarity_senti_ws,polarity_text_blob,subjectivity_huggingface,vader_positive,vader_neutral,vader_negative,vader_compound
0,He gave a self-deprecating shrug.,Er gab einen selbstironischen Achselzucken.,0,1.8066,0.5898090170803387,0.5742872774790383,0.2711376386626442,0.22638437923375365,0.0,0.0,0.9302656054496765,0.0,1.0,0.0,0.0
1,He is so much more than a comedian.,Er ist so viel mehr als ein Komiker.,0,2.686125,0.5725090425381617,0.4283200996530792,0.27537711942229065,0.13040888694613112,0.0,0.0,0.9283452033996582,0.0,1.0,0.0,0.0
2,We were pelted with rotten tomatoes.,Wir waren mit faulen Tomaten ausgestoßen.,0,1.577,0.19972775604449827,0.06177076654516774,0.25126161968499594,0.029268169122436582,-0.005833333333333334,0.0,0.8420082926750183,0.0,0.667,0.333,-0.3612
3,Mind you don't tread in that puddle.,"Denken Sie daran, Sie treten nicht in dieser Pfütze.",0,1.297,0.5163385988111161,0.28738087880960256,0.28718099821423654,0.09367442733520463,0.0,0.0,0.9042271971702576,0.0,1.0,0.0,0.0
4,We've branded our cattle.,Wir haben unser Vieh gebrandmarkt.,0,2.1957999999999998,0.378156010003156,0.2232841312805577,0.31247753511367127,0.18745110173468213,0.0,0.0,0.31319350004196167,0.0,1.0,0.0,0.0
5,She has an earthy sense of humour.,Sie hat einen erdigen Sinn für Humor.,0,1.4937142857142856,0.33338119535753113,-0.04074342890030126,0.2816657672946222,0.1260711271630374,0.0,0.0,0.9405912160873413,0.533,0.467,0.0,0.6908
6,She just goes to pieces in exams.,Sie geht nur in Prüfungen in Stücke.,0,1.7367142857142857,0.4642986137322605,0.17151019992870123,0.31547451324252174,0.15291812160205218,0.0,0.0,0.027318894863128662,0.0,1.0,0.0,0.0
7,She bit the thread in two.,Sie biss den Faden in zwei Teile.,0,2.823,0.32202270593665855,0.10243462642493671,0.2449966054877497,0.15447679648726056,-0.0006857142857142857,0.0,0.12950289249420166,0.0,0.732,0.268,-0.296
8,My new hat was squished under his hips.,Mein neuer Hut wurde unter seine Hüften gequetscht.,0,2.382,0.2825574117739626,-0.03575783555340769,0.19536355503696437,0.004764031487404562,0.0005,0.0,0.9069036245346069,0.293,0.707,0.0,0.4404
9,He is punctual to a proverb.,Er ist pünktlich zu einem Sprichwort.,0,1.5401666666666667,0.38641178703119494,0.08196217755062397,0.18221557317567985,0.1043611651880949,0.0,1.0,0.8498653769493103,0.367,0.633,0.0,0.4404
10,She's merely a child.,Sie ist nur ein Kind.,0,1.6957999999999998,0.5965597873118169,0.4959936154537269,0.24233710962143898,0.10491169671897879,0.0,0.0,0.03239387273788452,0.0,1.0,0.0,0.0
11,Sophie is a glutton for books.,Sophie ist eine Vielfraß für Bücher.,0,2.562666666666667,0.2407197141136376,-0.041322630711910946,0.19627260938831917,0.12690518344175283,0.0,0.0,0.9416908025741577,0.0,1.0,0.0,0.0
12,How can you watch that drivel on TV?,Wie können Sie diesen Trottel im Fernsehen sehen?,0,2.5004999999999997,0.3769012733568501,0.019226406406075418,0.24038721598540555,0.06228912574675715,0.0,0.0,0.9379362463951111,0.0,1.0,0.0,0.0
13,History is one of his blind spots.,Die Geschichte ist einer seiner blinden Flecken.,0,1.278857142857143,0.4498166991061389,0.13891886014321475,0.23810943989518507,0.09364616549922587,-0.02825714285714286,-1.0,0.933638334274292,0.0,0.706,0.294,-0.3612
14,I ain't got my yellow card on me.,Ich habe meine gelbe Karte nicht auf mich.,0,2.824625,0.35926437579139037,0.1444793542975078,0.22917235775132735,0.05013469467736966,0.0,0.0,0.8887085318565369,0.0,1.0,0.0,0.0
15,Think twice before you do it.,"Überlegen Sie zweimal, bevor Sie es tun.",0,0.9748571428571429,0.5261834616364153,0.22417041203592344,0.49136122365556556,0.32735796269581563,0.0,0.7,0.689173698425293,0.221,0.779,0.0,0.1779
16,The row went on and on.,Die Reihe ging weiter und weiter.,0,2.2115,0.5247717534938542,0.4124227785596965,0.2956825327044514,0.12232421672455224,0.0,0.0,0.03425711393356323,0.0,1.0,0.0,0.0
17,I confess to a little bait and switch.,Ich gestehe einen kleinen Köder und Schalter.,0,1.4567142857142856,0.20016801849316024,-0.12434848112074623,0.22980937319717207,-0.024467831425697244,-0.03878571428571429,0.0,0.9292534589767456,0.0,0.811,0.189,-0.1027
18,Don't distract me while I'm driving!,"Lenu mich nicht ab, während ich fahre!",0,0.7034285714285715,0.2384050185186702,-0.27852011612040417,0.4849741338922189,0.2977825953267613,0.0,0.0,0.9079904556274414,0.0,1.0,0.0,0.0
19,Stop laying a guilt trip on me .,"Hör auf, eine Schuldreise auf mich zu legen.",0,1.6516250000000001,0.3373116518185656,0.16008685029589378,0.10945858064214374,0.02591845642105241,0.0,0.0,0.919486939907074,0.0,1.0,0.0,0.0
20,Let's drink to the bride and groom.,Lassen Sie uns in Braut und Bräutigam trinken.,0,2.790625,0.36287436369770926,0.18315433876616252,0.24499698562322006,0.06991196785894802,0.0,0.0,0.5983861684799194,0.0,1.0,0.0,0.0
21,Who's going to carve the turkey?,Wer wird den Truthahn schnitzen?,0,2.2504,0.23450503117397256,-0.008692387190855806,0.2568730207526305,0.10976200619599837,0.0,0.0,0.6515816450119019,0.0,1.0,0.0,0.0
22,That's a load of baloney.,Das ist eine Ladung Baloney.,0,2.8899999999999997,0.39911977270003596,0.20917086028490348,0.19537291558712322,0.08412441213621455,0.0,0.0,0.9365007281303406,0.0,1.0,0.0,0.0
23,I assume bail is moot?,"Ich nehme an, Kaution ist streitend?",0,0.7301666666666667,0.1948775228108567,0.0572949756042159,0.30631008149612865,0.018933767249451783,0.0,0.0,0.8214269280433655,0.0,1.0,0.0,0.0
24,He's not asleep - he's just pretending.,"Er schläft nicht - er tut nur so, als würde er so tun.",0,1.9768461538461537,0.5146908911602892,0.1319065728716885,0.3832129141880602,0.2000080887344796,0.0,0.0,0.9118186831474304,0.0,1.0,0.0,0.0
25,You can't foist your ideas on me.,Sie können Ihre Ideen auf mich nicht aufschieben.,0,0.9615,0.47316946550759276,0.26006807393600584,0.25007671318495045,0.06060908659230052,0.0,0.0,0.909824550151825,0.0,1.0,0.0,0.0
26,You have your sweater on inside out.,Sie haben Ihren Pullover auf innen nach außen.,0,3.2205,0.36429875841475445,0.04294134298724673,0.25915999269244755,0.1298833700511627,0.0,0.0,0.03180837631225586,0.0,1.0,0.0,0.0
27,Foxhunting is an abomination.,Foxhunting ist ein Gräuel.,0,1.2535,0.6253389822931081,0.6253389822931081,0.3930647426818985,0.3930647426818985,0.0,0.0,0.9344311356544495,0.0,1.0,0.0,0.0
28,There was Greek blood in his veins.,Da war griechisches Blut in seinen Adern.,0,2.029857142857143,0.30956015897100747,0.054365243084744934,0.16376371443205293,-0.017905112619468103,0.0,0.0,0.10097181797027588,0.0,1.0,0.0,0.0
29,Where else am I gonna go?,Wohin werde ich sonst gehen?,0,0.805,0.47390364506515864,0.3185671282147315,0.42586872351238236,0.3654496959343292,0.0,0.0,0.6973869204521179,0.0,1.0,0.0,0.0
30,They've eaten a whole pot of jam!,Sie haben einen ganzen Topf Marmelade gegessen!,0,3.177571428571429,0.2917671791328671,0.05939547818157835,0.2967977173846752,0.1260711271630374,0.0,0.0,0.907692015171051,0.0,1.0,0.0,0.0
31,Make a retro film with your images!,Machen Sie einen Retro -Film mit Ihren Bildern!,0,1.6721249999999999,0.4020898953179634,0.06325136565240687,0.25478363996787934,0.1260711271630374,0.0,0.0,0.8612844347953796,0.0,1.0,0.0,0.0
32,You will banish these ghastly thoughts.,Sie werden diese schrecklichen Gedanken verbannen.,0,0.5315,0.42606511909769895,0.1421115048340914,0.3568516507020952,0.16980745500342376,-0.004033333333333333,-1.0,0.9333885312080383,0.0,0.4,0.6,-0.7184
33,Does your dog bite?,Bittet dein Hund?,0,0.0,0.34142313533192287,0.34142313533192287,0.529979368397403,0.529979368397403,0.0,1.0,0.3409270644187927,0.0,1.0,0.0,0.0
34,Don't fritter away your precious time.,Verrissen Sie Ihre kostbare Zeit nicht.,0,2.3008333333333333,0.257223571627942,-0.007529647622454897,0.3459416166464844,0.14344894058877639,0.012950000000000001,1.0,0.9227885007858276,0.351,0.649,0.0,0.4019
35,It was his back playing him up.,"Es war sein Rücken, ihn aufzuspielen.",0,1.1663333333333334,0.608864001031286,0.4943798830051486,0.28777203679669333,0.17682092493962037,0.0,0.0,0.8767046332359314,0.0,1.0,0.0,0.0
36,Is this another of your daft ideas?,Ist dies ein weiterer Ihrer dummen Ideen?,0,1.131857142857143,0.3827223012224063,-0.005905437438251138,0.27154465395096944,-0.05614591282735501,-0.0843,-1.0,0.938461184501648,0.0,0.645,0.355,-0.5106
37,Your cousins are akin to you.,Ihre Cousins ​​sind Ihnen vergleichbar.,0,0.0,0.36707670433851847,0.20163139599666494,0.3779129713632748,0.3137296405173464,0.0,0.0,0.5142832398414612,0.0,1.0,0.0,0.0
38,Don't be so heartless!,Sei nicht so herzlos!,0,1.0055,0.6998738610694748,0.6551117143814412,0.4477685378036308,0.42461491247823274,0.0,-1.0,0.9262037873268127,0.545,0.455,0.0,0.5571
39,Pretty mouldy pay increase this year.,Ziemlich schimmelige Gehaltserhöhung in diesem Jahr.,0,2.0413333333333337,0.1954060303173319,-0.06984291101523012,0.20802691321922756,0.1365330991184916,-0.050666666666666665,0.0,0.9352271556854248,0.0,0.675,0.325,-0.3415
40,Let's rediscover life in the slow lane.,Lassen Sie uns das Leben in der langsamen Spur wieder entdecken.,0,2.8311818181818187,0.39556983095598997,0.030942095007678905,0.23022213181526213,0.037683855159049345,-0.001518181818181818,-0.7,0.8695719838142395,0.0,0.82,0.18,-0.296
41,He was faithful to me in weal and woe.,Er war mir in Weal und Weh treu.,0,2.33475,0.24191263922390002,-0.1637723948492491,0.30125207740111043,-0.05588636849007977,0.0,1.0,0.9256044626235962,0.34,0.66,0.0,0.5574
42,He won't dare to break his promise.,"Er wird es nicht wagen, sein Versprechen zu brechen.",0,1.7206666666666668,0.5291523787202238,0.2498505487457023,0.27829715202940325,0.13648548601643953,0.0,0.325,0.8573991656303406,0.0,0.513,0.487,-0.5722
43,She was a consummate performer.,Sie war eine vollendete Performerin.,0,1.3940000000000001,0.41795582918583124,0.23232577185031492,0.2672722417711346,0.19856879849202722,0.0,0.0,0.9298169612884521,0.0,1.0,0.0,0.0
44,He was hot for revenge.,Er war heiß für Rache.,0,1.7863999999999998,0.38989510271877026,0.1627705507451226,0.384620624543909,0.384620624543909,0.0,0.7,0.902881383895874,0.305,0.316,0.379,-0.1779
45,It felt like he was cracking a knuckle.,"Es fühlte sich an, als würde er einen Knöchel knacken.",0,2.2967999999999997,0.4034397457237317,0.014563605819393715,0.2460399494635278,0.1669669241077532,0.0,0.0,0.8537047505378723,0.0,1.0,0.0,0.0
46,Let my kite fly high.,Lass meinen Drachen hoch fliegen.,0,3.7638,0.26849201329477435,0.16303917801616993,0.4219336219305948,0.2907675559619135,0.0,0.7,0.9002602696418762,0.365,0.635,0.0,0.3182
47,She's still hale and hearty at 74.,Sie ist immer noch mit 74 Jahren hale und herzlich.,0,1.8611999999999997,0.47407726763783037,0.0743805476833473,0.26634337849188794,0.12885976035708363,0.0,1.0,0.9283308386802673,0.291,0.709,0.0,0.5719
48,Did you have a flu jab this year?,Hattest du dieses Jahr eine Grippeimpfung?,0,1.4033333333333333,0.3030121580084799,-0.05470023100518972,0.21329560196127328,0.0030491094199796,0.0,0.0,0.05375516414642334,0.0,1.0,0.0,0.0
49,That picture is askew.,Das Bild ist schief.,0,2.7119999999999997,0.4395712232248444,0.3626130287886911,0.1573263309598563,0.09321487900386213,0.0,0.0,0.92965167760849,0.0,1.0,0.0,0.0
50,They gave him the boot for coming late.,"Sie gaben ihm den Stiefel, weil er spät gekommen war.",0,1.6319,0.49392992070493386,0.2586423342196026,0.33141849074153124,0.20660771186756757,0.00747,0.0,0.0257146954536438,0.291,0.709,0.0,0.5719
51,She slathered her toast with butter.,Sie schob ihren Toast mit Butter.,0,1.9898333333333333,0.2489801972924613,0.015349407821450115,0.34443776526335224,0.21267495634636072,0.0,0.0,0.026969611644744873,0.0,1.0,0.0,0.0
