label,english,german_hand_translated,german_google_translate
0,He gave a self-deprecating shrug.,Er zuckte selbstironisch mit den Achseln,Er gab einen selbstironischen Achselzucken.
0,He is so much more than a comedian.,Er ist so viel mehr als ein Komiker,Er ist so viel mehr als ein Komiker.
0,We were pelted with rotten tomatoes.,Wir wurden mit faulen Tomaten beworfen,Wir waren mit faulen Tomaten ausgestoßen.
0,Mind you don't tread in that puddle.,"Pass auf, dass du nicht in diese Pfütze steigst","Denken Sie daran, Sie treten nicht in dieser Pfütze."
0,We've branded our cattle.,Wir haben unsere Rinder gebrandmarkt,Wir haben unser Vieh gebrandmarkt.
0,She has an earthy sense of humour.,Sie hat einen derben Humor,Sie hat einen erdigen Sinn für Humor.
0,She just goes to pieces in exams.,Während einer Prüfung bricht sie zusammen,Sie geht nur in Prüfungen in Stücke.
0,She bit the thread in two.,Sie hat den Faden durchgebissen,Sie biss den Faden in zwei Teile.
0,My new hat was squished under his hips.,Mein neuer Hut wurde unter seiner Hüfte zusammengedrückt ,Mein neuer Hut wurde unter seine Hüften gequetscht.
0,He is punctual to a proverb.,Er ist bekannt für seine Pünktlichkeit,Er ist pünktlich zu einem Sprichwort.
0,She's merely a child.,Sie ist nur ein Kind,Sie ist nur ein Kind.
0,Sophie is a glutton for books.,Sophie ist ein Nimmersatt wenn es um Bücher geht,Sophie ist eine Vielfraß für Bücher.
0,How can you watch that drivel on TV?,Wie kannst du dir dieses Geschwätz im Fernsehen ansehen?,Wie können Sie diesen Trottel im Fernsehen sehen?
0,History is one of his blind spots.,Geschichte ist eine seiner Schwachstellen,Die Geschichte ist einer seiner blinden Flecken.
0,I ain't got my yellow card on me.,Ich habe meine gelbe Karte nicht mit,Ich habe meine gelbe Karte nicht auf mich.
0,Think twice before you do it.,Überlege es dir gut bevor du es machst,"Überlegen Sie zweimal, bevor Sie es tun."
0,The row went on and on.,Die Schlange ging weiter und weiter,Die Reihe ging weiter und weiter.
0,I confess to a little bait and switch.,"Ich gebe zu, dass es sich um einen kleinen Schwindel handelt",Ich gestehe einen kleinen Köder und Schalter.
