id,text,,speaker,imageability,unexpectedness_avg_glove,unexpectedness_min_glove,unexpectedness_avg_word2vec,unexpectedness_min_word2vec,polarity_senti_ws,polarity_text_blob,subjectivity_huggingface,vader_positive,vader_neutral,vader_negative,vader_compound,res_approach_1,old_label,label,Comments
11019,"Wir dürfen heute die erste Lesung zum Volksbegehren Klimavolksbegehren halten, und ich glaube, das ist ein wesentliches Thema: Klimaschutz und die Frage der Zukunft unserer Gesellschaft.Wenn wir die zahlreichen Unterschriften, die dieses Volksbegehren letztendlich bekommen hat, sehen, dann müssen wir schon eine Begrifflichkeit dahinter stellen, und die heißt: Eine Unterschrift ist nicht nur eine Verpflichtung, die man persönlich eingeht, wenn man unterschreibt, diese Verpflichtung ist vor allem auch keine Entpflichtung, das heißt, all diese Menschen, die sich dazu positiv ausgedrückt haben, wollen auch etwas zum Ausdruck bringen.",2,Johannes Schmuckenschlager,1.9260344827586209,0.4229928096261923,-0.0375402250398091,0.2710119232382714,-0.1069914003056974,0.0,0.85,0.8358598947525024,0.083,0.917,0.0,0.765,1,hyperbolic,hyperbolic,
11020,"Da müssen wir auch dieses Ja zum Klimaschutz einfordern können, denn Klimaschutz wird nicht nach dem Florianiprinzip funktionieren: Ich bin dafür, wenn es woanders stattfindet.",20,Johannes Schmuckenschlager,1.7448,0.3699165559101117,-0.1021991423067704,0.2926508611335696,0.0255227985428598,0.0,0.0,0.8773577809333801,0.091,0.909,0.0,0.34,1,,non hyperbolic,
11021,"Das heißt, wir dürfen Straßenprojekte nicht prinzipiell als böse betrachten und negativ bescheiden, sondern müssen schauen, dass wir fließenden Verkehr zustande bringen.",27,Johannes Schmuckenschlager,1.718,0.3281128183600103,-0.1596012245348168,0.2941113709708237,-0.0096675994300653,-0.0190136363636363,-1.0,0.8910831809043884,0.172,0.715,0.113,0.1471,1,non hyperbolic,non hyperbolic,
11022,Die Klimakrise ist die soziale Frage unserer Zeit.,58,Julia Elisabeth Herr,2.4935,0.3231861810583165,-0.2097247864058835,0.3475406338456331,0.0565616290317756,0.0,0.7,0.8813779354095459,0.0,1.0,0.0,0.0,1,,hyperbolic,
11023,Danke schön.,75,Julia Elisabeth Herr,2.3135,0.0,0.0,0.0,0.0,0.0955,1.0,0.9243486523628236,1.0,0.0,0.0,0.7351,1,,non hyperbolic,
11024,"[...]Bei dem Gedanken an eine solche Zukunft für meine Töchter habe ich Tränen in den Augen  Tränen der Angst, Tränen der Verzweiflung aber auch Tränen der Wut, weil ich weiß, dass wir diese schreckliche Zukunft verhindern können.",105,Lukas Hammer,2.5694736842105264,0.4055556311735227,0.0972668172667593,0.2855298959994171,-0.0997217838052501,-0.0065526315789473,-0.7999999999999999,0.9183269143104552,0.0,0.542,0.458,-0.9735,1,hyperbolic,hyperbolic,
11025,Herzliche Gratulation dazu!,111,Lukas Hammer,2.590666666666667,0.0934029666363989,0.0934029666363989,0.8479371918072247,0.8479371918072247,0.0013333333333333,1.0,0.9123003482818604,0.884,0.116,0.0,0.8221,1,non hyperbolic,non hyperbolic,
11026,"Im Prinzip geht es nur um eines, man kann die Forderungen dieses Klimavolksbegehrens und all der jungen Menschen, die immer noch jeden Freitag auf die Straße gehen, so zusammenfassen: Macht verdammt noch einmal das, was die Klimawissenschaft sagt, damit diese Erde noch bewohnbar bleibt!",114,Lukas Hammer,2.1809090909090902,0.4768497929109908,-0.0448051252604422,0.3083937310070181,-0.0191794157494581,-0.013815909090909,0.7,0.9081886410713196,0.065,0.935,0.0,0.4534,1,,non hyperbolic,
11027,"Da hat anscheinend alleine das Einbringen der Petition beim Gesundheitsminister Wunder bewirkt.Auch bei anderen Bürgerinitiativen ist aber ganz konkret etwas weitergegangen, wie beispielsweise bei einer Bürgerinitiative, die sich mit der Diskriminierung von Menschen mit Behinderung durch die Gesetzgebung beschäftigt hat, die jetzt in den Fachausschuss weitergegangen ist.",134,Michael Bernhard,2.7370425531914893,0.3755540530936079,-0.1724207855172552,0.2834641562765098,-0.0415941321592608,0.0,-1.0,0.8195019364356995,0.11,0.775,0.115,-0.0772,1,hyperbolic,hyperbolic,
11028,"Normalerweise sind das immer die Ausschüsse, deren Inhalte wir  eh heute auch  am Ende der Tagesordnung ansetzen, heute ist die Tagesordnung halt schon ein bisschen früher erschöpft.Mein Appell an alle Parteien, auch an meine eigene, wäre deshalb, über die Gestaltung der Tagesordnung nachzudenken, was die Berichte aus diesen Ausschüssen angeht.",187,Andreas Kollross,2.540038461538461,0.3864916176425203,-0.0393432331550861,0.2896341622650957,-0.044769403554342,0.0,0.0,0.877522885799408,0.0,0.953,0.047,-0.34,1,non hyperbolic,non hyperbolic,
11029,Danke schön.,197,Andreas Kollross,2.3135,0.0,0.0,0.0,0.0,0.0955,1.0,0.9243486523628236,1.0,0.0,0.0,0.7351,1,,non hyperbolic,
11030,Als letzten Satz darf ich Ihnen mitgeben  das ist ein alter Spruch : Zu Tode gefürchtet ist auch gestorben!,216,Peter Schmiedlechner,1.88695,0.3263543634712872,-0.1566093131399924,0.2463290157696662,0.000759507227658,-0.02145,-1.0,0.9009029269218444,0.0,0.612,0.388,-0.8588,1,hyperbolic,hyperbolic,
