speaker,sentence,imageability,unexpectedness_avg_glove,unexpectedness_min_glove,unexpectedness_avg_word2vec,unexpectedness_min_word2vec,polarity_senti_ws,polarity_text_blob,subjectivity_huggingface,vader_positive,vader_neutral,vader_negative,vader_compound,res_rf
Johannes Schmuckenschlager,Geschätzter Herr Präsident!,3.073,0.1103738090323374,0.1103738090323374,0.0,0.0,0.0013333333333333,1.0,0.901906430721283,0.427,0.573,0.0,0.126,0
Johannes Schmuckenschlager,Sehr geehrte Damen und Herren des Hohen Hauses!,0.40225,0.2925891747004104,0.0337852302020808,0.2377113833920271,0.0243094412114112,0.0005,0.0,0.8458265066146851,0.27,0.73,0.0,0.3802,0
Johannes Schmuckenschlager,"Wir dürfen heute die erste Lesung zum Volksbegehren Klimavolksbegehren halten, und ich glaube, das ist ein wesentliches Thema: Klimaschutz und die Frage der Zukunft unserer Gesellschaft.Wenn wir die zahlreichen Unterschriften, die dieses Volksbegehren letztendlich bekommen hat, sehen, dann müssen wir schon eine Begrifflichkeit dahinter stellen, und die heißt: Eine Unterschrift ist nicht nur eine Verpflichtung, die man persönlich eingeht, wenn man unterschreibt, diese Verpflichtung ist vor allem auch keine Entpflichtung, das heißt, all diese Menschen, die sich dazu positiv ausgedrückt haben, wollen auch etwas zum Ausdruck bringen.",1.9260344827586209,0.4229928096261923,-0.0375402250398091,0.2710119232382714,-0.1069914003056974,0.0,0.85,0.8358598947525024,0.083,0.917,0.0,0.765,1
Johannes Schmuckenschlager,"Klimaschutz lässt sich nicht delegieren  nicht auf andere Länder, nicht auf andere Gesellschaftsgruppen und auch nicht auf andere innerhalb der Gesellschaft, das heißt, jeder muss letztendlich für sich seinen Beitrag leisten und tätig werden.Diese Unterschriften sind nicht nur Verpflichtung, sie entpflichten uns als Politik auch nicht, das Thema sozusagen an die Gesellschaft abzugeben, sondern sie verpflichten uns, als Politik auch tätig zu werden  und wir werden tätig.",1.8099855072463769,0.4490650524583717,-0.0813543352329598,0.2698975963542903,-0.044769403554342,0.0,1.0,0.7906875014305115,0.082,0.918,0.0,0.5719,0
Johannes Schmuckenschlager,"Wir haben ja in den vergangenen Stunden und auch gestern in der Budgetdebatte schon erlebt, welchen Stellenwert Klimaschutz in der neuen Regierung hat und wie das Budget dazu entsprechend ausgestattet wurde.",2.662967741935484,0.3956889204565335,0.0205929047984191,0.2465616981651894,-0.0268803619765033,0.0001290322580645,0.0,0.7296568155288696,0.088,0.912,0.0,0.4404,0
Johannes Schmuckenschlager,"Ich denke, es ist ein ganz wichtiger Aspekt, dass Bundesministerin Gewessler mit der Klimamilliarde entsprechend ausgestattet ist, sodass wir auch tätig werden können.Die ersten Schritte dieser verantwortungsvollen Verpflichtung der Politik sind mit dem Erneuerbaren-Ausbau-Gesetz gemacht worden, und ich möchte davon nur ein Beispiel herausgreifen, nämlich das Gas: Beim Gas haben wir eine Verpflichtung, rund 20 Prozent des CO2-Energieausstoßes in Österreich wird durch Gas verursacht.",2.0670781250000005,0.4354350918736268,0.0677024680152135,0.2154000800433093,-0.0997217838052501,0.011425,0.85,0.8275750875473022,0.15,0.85,0.0,0.8625,0
Johannes Schmuckenschlager,"Bei 90 Prozent des Gases besteht eine Importabhängigkeit, und das ist außenpolitisch momentan ein starkes Thema; einerseits Nord Stream 2, die Auseinandersetzung mit Russland, andererseits die Auseinandersetzung mit der Türkei in der Ägäis.",2.5530000000000004,0.3584829890646188,-0.0631852141696238,0.2470024119233723,-0.0365222270574048,0.0002424242424242,0.0,0.8531336188316345,0.136,0.742,0.123,0.128,0
Johannes Schmuckenschlager,"Das heißt, Gas ist ein Riesenthema.",2.6506666666666665,0.4183860901714937,0.2038791927073384,0.2477752129274822,0.1349184218416203,0.0,0.0,0.9315851926803588,0.0,1.0,0.0,0.0,0
Johannes Schmuckenschlager,"Wir haben den großen Schatz, Biogas, grünes Gas in Österreich erzeugen zu können.",2.070230769230769,0.3384835208682739,0.1261394297240637,0.2146603477273745,0.025557940883513,0.0284153846153846,0.7,0.9193003177642822,0.448,0.552,0.0,0.7964,0
Johannes Schmuckenschlager,"Zum heutigen Zeitpunkt könnten wir aus unseren Rohstoffreserven, aus heimischen Lebensmitteln und letztendlich auch Biomasse und Biogasrohstoffen, bereits 50 Prozent dieses Gasverbrauchs abdecken.Das heißt, wir müssen auch im Erneuerbaren-Ausbau-Gesetz dem Biogasthema die entsprechende Priorität zuordnen.",1.5161428571428572,0.3794879418965119,0.067717273144246,0.2538338197965357,-0.0096675994300653,0.0,0.0,0.6769717335700989,0.0,1.0,0.0,0.0,0
Johannes Schmuckenschlager,"Gestern erst wurde die Methanstrategie der Europäischen Kommission vorgestellt, und da hätten wir einen doppelten Effekt, einen Win-win-Effekt, indem wir mit der Biogasverwertung noch positiv aus Methan aussteigen könnten.Das heißt, diese Unterschriften sind Verpflichtung, aber nicht Entpflichtung  auch für die Gesellschaft!",1.864452380952381,0.3788994757460835,-0.1045092217103342,0.2737818782649189,-0.0268803619765033,0.0,1.0,0.8030807375907898,0.078,0.922,0.0,0.5255,0
Johannes Schmuckenschlager,Politisch haben wir die ersten Schritte gesetzt.,1.667,0.3991015842796748,0.2424919897187971,0.237088134556908,0.0946162114996069,0.0,0.7,0.8305566310882568,0.0,1.0,0.0,0.0,0
Johannes Schmuckenschlager,Wo stehen wir aber gesellschaftlich?,1.0602,0.4626287253817724,0.3307866347856388,0.245688647065344,0.1695691096963488,0.0,0.0,0.8313854932785034,0.0,1.0,0.0,0.0,0
Johannes Schmuckenschlager,"Da ist die Bereitschaft, tätig zu werden, eine sehr große, wenn man nur die Beteiligungsverhältnisse bei Solarkraftwerken betrachtet.",1.6550555555555555,0.5402959372230041,0.3295642234480148,0.2544354548362722,0.062453481295537,0.0,0.0,0.9061753153800964,0.296,0.704,0.0,0.6478,0
