speaker,party,unique_speaker
Abgeordnete Dr. Dagmar Belakowitsch,FPÖ,Abgeordnete Dr. Dagmar Belakowitsch
Abgeordneter Mag. Markus Koza,Grüne,Abgeordneter Mag. Markus Koza
Abgeordneter Michael Bernhard,NEOS,Abgeordneter Michael Bernhard
"Abgeordnete Elisabeth Feichtinger, BEd BEd (SPÖ)",SPÖ,"Abgeordnete Elisabeth Feichtinger, BEd BEd"
Abgeordnete MMMag. Gertraud Salzmann,ÖVP,Abgeordnete MMMag. Gertraud Salzmann
Abgeordnete Edith Mühlberghuber,FPÖ,Abgeordnete Edith Mühlberghuber
Abgeordnete Barbara Neßler,Grüne,Abgeordnete Barbara Neßler
Abgeordnete Mag. Martina Künsberg Sarre (NEOS),NEOS,Abgeordnete Mag. Martina Künsberg Sarre
Abgeordnete Pia Philippa Strache,FPÖ,Abgeordnete Pia Philippa Strache
Abgeordnete Katharina Kucharowits,SPÖ,Abgeordnete Katharina Kucharowits
"Abgeordnete Eva-Maria Himmelbauer, BSc",ÖVP,"Abgeordnete Eva-Maria Himmelbauer, BSc"
Abgeordneter Ing. Reinhold Einwallner (SPÖ),SPÖ,Abgeordneter Ing. Reinhold Einwallner
Abgeordneter Mag. Georg Bürstmayr (Grüne),Grüne,Abgeordneter Mag. Georg Bürstmayr
Abgeordnete Katharina Kucharowits (SPÖ),SPÖ,Abgeordnete Katharina Kucharowits
Abgeordnete Mag. Johanna Jachs,ÖVP,Abgeordnete Mag. Johanna Jachs
Abgeordnete Mag. Faika El-Nagashi (Grüne),Grüne,Abgeordnete Mag. Faika El-Nagashi
Abgeordnete Dr. Stephanie Krisper (NEOS),NEOS,Abgeordnete Dr. Stephanie Krisper
Abgeordneter Mag. Ernst Gödl (ÖVP),ÖVP,Abgeordneter Mag. Ernst Gödl
Abgeordneter Andreas Minnich (ÖVP),ÖVP,Abgeordneter Andreas Minnich
"Abgeordnete Elisabeth Feichtinger, BEd BEd",SPÖ,"Abgeordnete Elisabeth Feichtinger, BEd BEd"
Abgeordneter Mag. Philipp Schrangl,FPÖ,Abgeordneter Mag. Philipp Schrangl
Abgeordneter David Stögmüller,Grüne,Abgeordneter David Stögmüller
Abgeordneter Hermann Gahr,ÖVP,Abgeordneter Hermann Gahr
"Abgeordneter Mag. Hannes Amesbauer, BA",FPÖ,"Abgeordneter Mag. Hannes Amesbauer, BA"
Abgeordneter Karl Mahrer,ÖVP,"Abgeordneter Karl Mahrer, BA"
Abgeordnete Dr. Susanne Fürst,FPÖ,Abgeordnete Dr. Susanne Fürst
Abgeordneter Mag. Friedrich Ofenauer,ÖVP,Abgeordneter Mag. Friedrich Ofenauer
Abgeordneter Mag. Christian Drobits,SPÖ,Abgeordneter Mag. Christian Drobits
Abgeordnete Mag. Agnes Sirkka Prammer,Grüne,Abgeordnete Mag. Agnes Sirkka Prammer
Abgeordneter Dr. Johannes Margreiter,NEOS,Abgeordneter Dr. Johannes Margreiter
Abgeordnete Dr. Susanne Fürst (FPÖ),FPÖ,Abgeordnete Dr. Susanne Fürst
Abgeordneter Mag. Wolfgang Gerstl (ÖVP),ÖVP,Abgeordneter Mag. Wolfgang Gerstl
Abgeordneter Johann Singer (ÖVP),ÖVP,Abgeordneter Johann Singer
Abgeordneter Mag. Gerald Hauser (FPÖ),FPÖ,Abgeordneter Mag. Gerald Hauser
Abgeordneter Dipl.-Ing. Georg Strasser (ÖVP),ÖVP,Abgeordneter Dipl.-Ing. Georg Strasser
Abgeordneter Alois Kainz (FPÖ),FPÖ,Abgeordneter Alois Kainz
Abgeordnete Cornelia Ecker (SPÖ),SPÖ,Abgeordnete Cornelia Ecker
Abgeordnete Dipl.-Ing. Olga Voglauer (Grüne),Grüne,Abgeordnete Dipl.-Ing. Olga Voglauer
Abgeordnete Dipl.-Ing. Karin Doppelbauer,NEOS,Abgeordnete Dipl.-Ing. Karin Doppelbauer
"Bundesministerin für Landwirtschaft, Regionen und Tourismus Elisabeth Köstinger",ÖVP,Abgeordnete Elisabeth Köstinger
Abgeordneter Johannes Schmuckenschlager,ÖVP,Abgeordneter Johannes Schmuckenschlager
Abgeordneter Clemens Stammler (Grüne),Grüne,Abgeordneter Clemens Stammler
Abgeordneter Dipl.-Ing. Nikolaus Berlakovich (ÖVP),ÖVP,Abgeordneter Dipl.-Ing. Nikolaus Berlakovich
Abgeordneter Dietmar Keck,SPÖ,Abgeordneter Dietmar Keck
Abgeordneter Mag. Gerald Hauser,FPÖ,Abgeordneter Mag. Gerald Hauser
Abgeordneter Franz Leonhard Eßl (ÖVP),ÖVP,Abgeordneter Franz Leonhard Eßl
Abgeordnete Martina Diesner-Wais,ÖVP,Abgeordnete Martina Diesner-Wais
"Abgeordneter Ing. Klaus Lindinger, BSc",ÖVP,"Abgeordneter Ing. Klaus Lindinger, BSc"
Abgeordneter Franz Hörl,ÖVP,Abgeordneter Franz Hörl
Abgeordneter Josef Muchitsch,SPÖ,Abgeordneter Josef Muchitsch
Abgeordneter Laurenz Pöttinger,ÖVP,Abgeordneter Laurenz Pöttinger
Abgeordneter Josef Muchitsch (SPÖ),SPÖ,Abgeordneter Josef Muchitsch
"Abgeordnete Fiona Fiedler, BEd",NEOS,"Abgeordnete Fiona Fiedler, BEd"
Bundesminister für Arbeit Mag. Dr. Martin Kocher,Parteilos,"Bundesminister für Arbeit, Familie und Jugend Mag. Dr. Martin Kocher"
Abgeordnete Bettina Zopf,ÖVP,Abgeordnete Bettina Zopf
Abgeordnete Gabriele Heinisch-Hosek (SPÖ),SPÖ,Abgeordnete Gabriele Heinisch-Hosek
Abgeordnete Barbara Neßler (Grüne),Grüne,Abgeordnete Barbara Neßler
Abgeordnete Petra Wimmer (SPÖ),SPÖ,Abgeordnete Petra Wimmer
"Abgeordneter Alois Stöger, diplômé",SPÖ,"Abgeordneter Alois Stöger, diplômé"
Abgeordnete Rebecca Kirchbaumer,ÖVP,Abgeordnete Rebecca Kirchbaumer
Abgeordneter Mag. Christian Ragger,FPÖ,Abgeordneter Mag. Christian Ragger
Abgeordneter Mag. Gerald Loacker,NEOS,Abgeordneter Mag. Gerald Loacker
"Abgeordneter Alois Stöger, diplômé (SPÖ)",SPÖ,"Abgeordneter Alois Stöger, diplômé"
Abgeordneter Franz Hörl (ÖVP),ÖVP,Abgeordneter Franz Hörl
Abgeordnete Tanja Graf,ÖVP,Abgeordnete Tanja Graf
Abgeordneter Peter Wurm,FPÖ,Abgeordneter Peter Wurm
Abgeordneter Kai Jan Krainer (SPÖ),SPÖ,Abgeordneter Kai Jan Krainer
Abgeordneter Mag. Andreas Hanger (ÖVP),ÖVP,Abgeordneter Mag. Andreas Hanger
