,0
0,Känozoikum
1,Astronomische
2,Sommermaximums
3,Klimaschwankungen
4,Kreidezeit
5,Vulkanische
6,Eisbedeckung
7,Magmaausflüsse
8,Keeling-Kurve
9,Latifː
10,Warmklima
11,Keeling
12,Klimaverlauf
13,Oxidationsvorgangs
14,Pinatubo
15,Superkontinent
16,Meeresspiegels
17,Zeitskala
18,Sedimentbohrkerne
19,Erdsystem-Klimasensitivität
20,Fachjournale
21,Kohlenstoffkreislauf
22,CO2-Konzentration
23,Aktivitätsphasen
24,"Mittelwert=1,0"
25,Methankonzentration
26,Erdneuzeit
27,Lachgas
28,Dauerfrostklima
29,Supervulkans
30,Kratone
31,Hauptbestandteilen
32,Klimaänderung
33,Massenaussterben
34,Dropstones
35,Landmassen
36,Sauerstoffreduzierung
37,Multiproxy-Auswertungen
38,Erwärmungsspitze
39,CO2-Emissionen.Der
40,Klimawandel
41,Potsdam-Institut
42,ISSN
43,Faktenlage
44,Kontinentalplatten
45,CO2-Anteilen
46,Klimasystematik
47,Eiskappen
48,Sauerstoffverknappung
49,Erdmagnetfelds
50,Planetenoberfläche
51,Erd-
52,Toba-Explosion
53,Quartärs
54,Hauptinsel
55,Manteldiapire
56,Wasserdampf-Rückkopplung
57,Kerngebiete
58,Hauptphase
59,Marinoischen
60,Hans-Joachim
61,Insolation
62,Schwermetallbelastung
63,Meeresströmung
64,Industriezeitalters
65,Geology
66,Klimafluktuationen
67,Erdaltertum
68,Aerosole
69,Gasgemisch
70,Pleistozän
71,Hauptfaktoren
72,Wasser-
73,Klimas
74,Supertreibhaus-Phase
75,Großzyklus
76,Klimatologie
77,Laurussia
78,Westindien
79,Abtauchen
80,Gletscherbildungen
81,Anthropogene
82,Kohlenstoffdioxid-
83,Erwärmungsphase
84,Wald-
85,Meerwasservolumens
86,Verwitterungs-
87,Säuberungsmechanismen
88,Proton-Proton-Reaktion
89,CO2-Äquivalentwert
90,Abkühlungstendenz
91,Kontinentalplatte
92,Plattenkonvergenz.Eine
93,Milanković
94,Karoo-Eiszeit
95,Luftsäule
96,Klimawandels
97,Dunstnebels.S
98,Nordatlantische
99,Warm-
100,Landmassenanteil
101,Planetary
102,Auswaschung
103,Wasserdampfgehalt
104,Stratocumuluswolken
105,Phytoplankton
106,Tilliten
107,Meeres­strömungen
108,Uratmosphäre
109,Oberflächentemperatur
110,Kippelemente
111,Südpolarmeer
112,Erdrotationsachse
113,"Mittelwert=3,7"
114,Wasserkreislaufs
115,Klimazeugnisse
116,Geological
117,Linkː
118,Kaltzeitphasen
119,CO2-Levels
120,Eisschildes
121,Phanerozoikum
122,Permokarbone
123,Schwimmfarn
124,Dansgaard-Oeschger-Ereignissen
125,Eruptionen
126,Pennsylvanium
127,Climates
128,Stationsnetz
129,Juras
130,Methangehalt
131,Archaikum
132,Luftschichten
133,Erdsystem
134,CO2-Reduktion
135,Raumflugmissionen
136,Cenomanium-Turonium-Grenze
137,Interglaziale
138,Sonnenflecken
139,Faltengebirgen
140,Großbrände
141,Laki-Kraters
142,Albedo
143,Paläozoikums
144,Groß-
145,Zirkulationsmuster
146,IPCC
